formula,space_group,formation_energy_value,formation_energy_value_per_atom
Ag3Sn,P4/mmm,-0.1258227737492074,-0.2211953789504068
Ag3Sr,Pm-3m,-0.1820583728955863,-0.3370844805610475
Ag3Ta,Fm-3m,0.2539790046022914,0.5614918787901932
Ag3V,I4/mmm,0.1572102667014583,0.3620729649784565
Ag4Al,I4/m,-0.19323391564552914,-0.33902784779147127
Ag4Al,Immm,-0.1718271663838638,-0.3037361965528145
Ag4Al2,Cmcm,-0.21990250522743077,-0.3616085822733619
Ag4Al2,I4/mcm,-0.1199565041140931,-0.2242975497077726
Ag4Al2,I4_1/amd,-0.09263937831354,-0.1867678565873392
Ag4Al2,Pnnm,0.0675331024622235,0.0332854569911779
Ag4Al3,I4/mmm,-0.19519628307332249,-0.31723933749563193
Ag4Al4,C2/m,-0.2360258981938604,-0.3514898191114747
Ag4Al4,Cccm,-0.1722663074115483,-0.2857926290131629
Ag4Al4,I4/mmm,-0.1687451115260509,-0.2821644270026963
Ag4Al4,P1,-0.1782435250611717,-0.2919514891841292
Ag4Al4,P4/mmm,-0.1718572702329113,-0.2853711615452498
Ag4Al4,P4/nmm,-0.1933067839919604,-0.3074725076432165
Ag4Al4,Pmm2,-0.1642417745344687,-0.2775242374597168
Ag4Al5,I4/mmm,-0.131984412467193,-0.2454414297602409
Ag4Al6,P1,-0.168961159600795,-0.2768456431522187
Ag4Al6,R-3c,0.4684949307554498,0.2486166245143899
Ag4Al8,Cm,-0.1599579110684205,-0.266966811832422
Ag4Al8,P-1,-0.1950895206187497,-0.2910996312014357
Ag4As2,P6_3/mmc,0.0837073735125523,0.0555065147041114
Ag4Ba2,Cmcm,-0.3014753626019623,-0.4736776310662281
Ag4Ba2,Imma,-0.5212005176927859,-0.7755475167051948
Ag4Ba6,Fdd2,-0.25394949229583,-0.3469024873784305
Ag4Ba8,Pnma,-0.5714517110331573,-0.5496326410706663
Ag4Br2,Cmcm,-0.26163797610657175,-0.41894695036402074
Ag4Fe,I4/m,0.1375452585037261,0.2063021837977484
Ag4Ge12,Pnma,0.7333837353103272,0.1963496444465016
Ag4Ge2,C2/m,-1.0707686864887264e-05,-0.0595097545397792
Ag4Ge4,Pnma,0.3104187927981603,0.211560857686082
Ag4Ir2,Fd-3m,0.9398437727064398,1.23171138214038
Ag4Mn2,I4/mcm,0.3810571661047265,0.4640211786144286
Ag4Mn2,I4_1/amd,0.5923795471327362,0.7543468947005594
Ag4Mo,I4/m,0.4033702250926165,0.6445472389768047
Ag4Na2,Pnnm,-0.1202352286802942,-0.2246804760636061
Ag4Nb2,Cm,0.2114647076696207,0.2310262080937563
Ag4Nb2,Fd-3m,0.5910800127682767,0.7525615265672604
Ag4Pd6,Fdd2,-0.0921122093725684,-0.2134981839850236
Ag4Pt7,P-1,-0.0666063645199034,-0.198128575300306
Ag4Pt7,P1,-0.0628557163342766,-0.1953179373589714
Ag4Pt8,P-1,-0.0488201389299679,-0.1906233759801716
Ag4Pt8,Pnma,-0.1359256096189859,-0.2504583968373723
Ag4Sn,I4/m,-0.1637957958308857,-0.2904954973200871
Ag4Sn,I4/mmm,0.0196298219838348,0.0119041268836996
Ag4Sn2,I4/mcm,-0.0326755418941292,-0.104386408569159
Ag4Sn2,I4_1/amd,0.1013645627680485,0.0797648828416104
Ag4Sn8,I4_1/amd,-0.0378735863161568,-0.1831039033364814
Ag4Sr2,Fd-3m,-0.4399638515606368,-0.6639403449871172
Ag4W,I4/mmm,0.996367202298819,1.6221754743210717
Ag5Al2,I4/mmm,-0.1494340952321197,-0.2633503529159022
Ag5Al3,Amm2,-1.059933566710623,-1.731837981643328
Ag5Al4,P-1,-0.1995639253359895,-0.307337604287332
Ag5Al5,P-1,-0.1868246297672983,-0.2915707037235908
Ag5In,P4/mmm,-0.13195383249371023,-0.24078010558277535
Ag5P,F-43m,0.3134562236648985,0.3711474757606878
Ag5Pt5,P-1,-0.0425080008052599,-0.1726088736248092
Ag5Pt5,P1,-0.0600248105025341,-0.1870481780491661
Ag5Pt6,P1,-0.0503343336610312,-0.1859347397148254
Ag5Sn3,Cmmm,-0.1322911909022401,-0.2446027029755142
Ag6Al2,Cmmm,-0.2252106567312283,-0.3403459117304568
Ag6Al2,P4/nmm,-0.1479006593427984,-0.2606865297832206
Ag6Al2,Pmmn,-0.2060402536491757,-0.3205929365295517
Ag6Al4,P-1,-0.2548769474246831,-0.3476669991346737
Ag6Al5,P-1,-0.217606114099046,-0.311283849880729
Ag6Al6,Cmm2,-0.2106791692776058,-0.3018085676813197
Ag6Al6,I4mm,-0.1995964318500049,-0.2941955461352575
Ag6Fe2,P6_3/mmc,0.4126153227946367,0.3168630526372598
Ag6K7,R-3m,0.671173856819283,0.2609870310983179
Ag6Pb7,R-3m,0.6920595246259877,0.2742303328524093
Ag6Pt3,P-1,-0.151193643937688,-0.2630351929165012
Ag6Pt5,P1,-0.0971319540112011,-0.2210036560222557
Ag6Pt6,Cmcm,-0.0728694089252005,-0.2071434471121288
Ag6Pt6,P-1,-0.0633335534936207,-0.2005930191754393
Ag6V10,I4/mcm,1.8441417498841317,0.768606143753605
Ag7Al3,Amm2,-0.2303670336524462,-0.3274631998990663
Ag7Al5,P1,-0.23543672176034713,-0.3188151765367706
Ag7K6,R-3m,-1.3752334917172444,-1.7068365123681224
Ag7Pt3,Pmm2,-0.0770744495503537,-0.2011023884214565
Ag7Pt5,P1,-0.1116559292793126,-0.2337869200881509
Ag7Ta,Fm-3m,0.443006759818114,0.3481780593836042
Ag8Au4,I4_1/amd,-0.2588122238809676,-0.334872418933501
Ag8Cu10,P6_3/mcm,0.5490687324829553,0.0618280434478759
Ag8K4,P6_3/mmc,-0.1285760999538576,-0.2454098268609449
Ag8Mn,I4/mmm,0.0892562671434812,-0.0428067682133172
Ag8P16,Fd-3m,2.5811225241323825,0.6806364074786745
Ag8Ta4,Pa-3,3.526556167820716,2.265395909542625
AgAl2,I4/mmm,-0.1166211708959395,-0.20541335796349985
AgAl2,Immm,-0.0874978736680453,-0.1797041891674384
AgAl2,P4/mmm,-0.0146096990046816,0.095546831905095
AgAl3,I4/mmm,-0.1136037300915165,-0.1960146391072148
AgAl3,P4/mmm,-0.1554780232052101,-0.2823082730897569
AgAs,Fm-3m,-0.1263806659418468,-0.190010088745587
AgAu2,I4/mmm,-0.1435261140106001,-0.258677366400613
AgAu3,Pmm2,-0.1653879294866495,-0.3027303927690067
AgBa,P4/mmm,-0.25407694044668205,-0.500444192272613
AgBr,Cmmm,-0.2608631431058769,-0.7442872262700124
AgBr2,Immm,-0.2407230530985357,-0.525745821760717
AgBr3,Cmmm,-0.11165387489055305,-0.19199641984858634
AgCu2,P6/mmm,-0.0593472810244677,-0.0273788182098812
AgCu3,R-3m,-0.0583461346180622,-0.0821409862291839
AgCu8,I4/mmm,1.4750249400598674,1.2264207830348732
AgEu,P4/mmm,-0.3510205537822605,-1.115876094724363
AgEu,Pm-3m,-0.3591373908754121,-1.1493300979864882
AgFe2,Fmmm,0.035924166766989,0.2343989562791439
AgFe2,Immm,0.3281959235296936,0.3913976447078855
AgGa3,Pmmm,-0.1145074037968199,-0.1978769102565659
AgGa5,Amm2,-0.102186272227223,-0.1998838777035359
AgGa5,Cmmm,-0.09682898071413805,-0.1925237510229057
AgGe2,Immm,0.0079942754327849,0.1576558714968857
AgGe5,Cmmm,0.2226540793361869,0.2463987508686698
AgI,F-43m,-0.3075254934183731,-0.9366087428481602
AgIn2,P4/mmm,-0.0910474496557976,-0.1144815104393625
AgIn3,I4/mmm,-0.1055252562837739,-0.1793666957016955
AgIn3,Pmm2,-0.0962424080861233,-0.1602368037054624
AgIr,P4/mmm,0.1753711978123494,1.0536772883119778
AgIr3,P4/mmm,0.3360271873593461,0.7305749922064929
AgIr3,Pm-3m,2.9088226724716346,6.0325360617681545
AgK2,P-3m1,-0.0682057260090883,-0.0517192063037356
AgK3,R-3m,-0.0354327983296391,-0.03492168035043026
AgMn2,I4/mmm,0.1012714331632104,0.4139539264480584
AgMn3,P4/mmm,0.22028737130255482,0.49206089247246265
AgMn4,I4/m,0.3910076213290006,0.6241659706630514
AgMn8,I4/mmm,0.4646166486133896,0.3009863533370531
AgMo,Pm-3m,0.2823138507889668,1.4944474824752505
AgMo2,Immm,0.4663386910423268,0.5811853884628132
AgMo3,P4/mmm,0.2128333802577176,0.4766998695846045
AgNa4,I4/m,-0.1336597731148662,-0.2408125683328924
AgNb,Fm-3m,0.3936522366350935,1.953334938333978
AgNi2,Immm,0.0082526015938388,0.1583656754213626
AgP,F-43m,0.0946727523289521,0.7210740800095947
AgP,Pm-3m,0.0590939043291415,0.5744338452249671
AgP3,Cmmm,0.2902878511030038,0.6363163612418425
AgP3,Fm-3m,0.420230378188193,0.9040990994628972
AgP3,Pm-3m,0.4744989463855098,1.0159345864061855
AgPb,R-3m,-0.0858312970753221,-0.0228835710183325
AgPb2,P-3m1,-0.0793386592959924,-0.08230921587050416
AgRb,Pm-3m,-0.1105713376572999,-0.1248510478613642
AgSn,P4/mmm,-0.09959867446770117,-0.18252958527190002
AgSn2,I4/mmm,-0.142914585812669,-0.2566664420297964
AgSn2,P4/mmm,-0.0740367470061316,-0.0677411282435179
AgSn3,P4/mmm,-0.1392325230578507,-0.2488298991438784
AgSn4,I4/mmm,0.1524056774042546,0.2308014066684048
AgSn8,I4/mmm,-0.1044379908703773,-0.220211621991967
AgSr,P-6m2,-0.2016687347931247,-0.5003141236848674
AgSr,Pm-3m,-0.21100865840729494,-0.5388091472353687
AgSr2,I4/mmm,-0.3937713258504582,-0.6004786423534665
AgTa,F-43m,0.8039779336338138,3.6445155113075183
AgTa3,Fm-3m,0.1389607367688154,0.3244647299669394
AgTa3,Pm-3m,2.6421650292740244,5.483013780919979
AgTa7,Fm-3m,0.32525071917816484,0.22684351359644023
AgTh,Fm-3m,-0.0171358851986998,0.260248455242557
AgW,Pm-3m,0.3816177242597525,1.9037340147670343
AgW2,I4/mmm,0.2874297835846566,0.9254620414768742
Al10Au20,Pnnm,-2.4387111089905327,-0.8857287713003166
Al10Ga6,Cmcm,0.1953712355970165,-0.0808314747800263
Al12Pb12,Pbcm,1.2177055837986834,0.212353069953393
Al12Sn4,Pnma,0.3423665042538267,-0.0051003103386609
Al14Th4,Pbam,-1.548441430685293,-0.8987282673372139
Al16As8,Fd-3m,0.7346512380690515,0.0464417521953792
Al16Cu36,P-43m,-2.6348155986564312,-0.649833380956998
Al16Ge8,Fd-3m,0.9167536553833934,0.1089872034280082
Al16Mn4,I-43m,1.185080944861363,0.2923132651207684
Al17As12,I-43m,-0.0220848239620164,-0.2205744549364686
Al18In6,Pmmn,0.7052678270091933,0.036349636282825
Al18Pb6,Pmmn,0.9605168840175816,0.1240182553090885
Al18Rh6,Pmmn,-2.942769183752254,-1.2166162733214725
Al2As,Fm-3m,0.0143188490019095,0.1750339300012723
Al2Ba,I4/mmm,-0.1411147972448309,-0.25205178075912227
Al2Ca6,P6_3/mmc,-0.3544261484186195,-0.4734881514605837
Al2Cu,Fm-3m,-0.3789667193141317,-0.5801393012334043
Al2Cu,Fmmm,-0.2987720581185162,-0.6852473271718207
Al2Cu,Immm,-0.2459533637680831,-0.43981651297052177
Al2Cu,P4/mmm,-0.1582812146271962,-0.2992200210082043
Al2Cu2,I4_1/amd,-0.255915850939556,-0.4892883675591007
Al2Cu2,P4/nmm,-0.2047102529456586,-0.3837649831011169
Al2Cu2,Pmma,-0.3079930872895459,-0.596608005414403
Al2Cu4,Cmcm,-0.2517919851218303,-0.4054200140815652
Al2Cu4,Pnnm,-0.1873070540328762,-0.31682725024798
Al2Cu6,Cmcm,-0.4261569042600932,-0.5473987434921785
Al2Cu6,Pmmn,-0.5005578078084594,-0.6240606267309143
Al2Fe2,Cmcm,-0.2883905946708465,-0.5562116142779431
Al2Fe2,Pmmn,-0.2655242029290429,-0.5090890507015003
Al2Fe4,Cmcm,-0.4426581405397572,-0.6676418998030381
Al2Fe4,Fd-3m,-0.3622268939946248,-0.5571412555488898
Al2Fe4,I4/mcm,-0.0787019596924175,-0.1676199034841929
Al2In,I4/mmm,-0.04440655580274655,0.0136738779384492
Al2In,P4/mmm,0.0090192170394882,0.160472108039982
Al2In2,C2/m,-0.0112273330687152,0.0149604168573252
Al2In2,I4_1/amd,0.0164329153320099,0.0719620561417822
Al2In2,P4/nmm,0.0325773117783877,0.1052320777760626
Al2In4,Cmcm,0.0618718727285971,0.025507764120467347
Al2In6,Cmcm,0.076452193796618,-0.029515785728072
Al2K2,Cmcm,0.0549143089913966,0.15126367660293616
Al2K2,P4/nmm,0.0720447826527977,0.1865657847500733
Al2K2,Pmmn,0.0717097056738474,0.1858752653877761
Al2K4,Cmcm,0.0630694050340472,0.0271529965015561
Al2K4,I4/mcm,0.1640829421545488,0.1659306657490715
Al2K4,Pnnm,0.4012102447166961,0.491708529811672
Al2Mn,Fm-3m,0.2644620361698905,0.19190470595261336
Al2Mn4,Fd-3m,-0.2053126008250091,-0.3415642101502794
Al2Mn4,I4_1/amd,0.3681402839511678,0.446275291772774
Al2Mo6,P6_3/mmc,-0.1381084153120996,-0.2505967078492891
Al2Na,I4/mmm,-0.0786070147491598,-0.0802988729437742
Al2Na2,Cmme,-0.048225071558726,-0.061283719247142
Al2Na2,P-3m1,-0.0014569003865052,0.0350951123718385
Al2Na2,R-3m,0.0736216957566331,-0.1065148845810154
Al2Nb,P-3m1,-0.2919167193259477,-0.666410882737649
Al2Nb6,P6_3/mmc,-0.2635387265667245,-0.3798387387575481
Al2Ni,I4/mmm,-0.4070220231468048,-0.9826862303324934
Al2Ni2,Pmmn,-0.5435506120015278,-1.0820398374011295
Al2Ni4,Cmcm,-0.7500524260102979,-1.0899562122571944
Al2P,I4/mmm,-0.1327696898965893,-0.2291218927377228
Al2P2,P4/nmm,0.008808418457057,0.0562496585416168
Al2P4,I4/mcm,-0.23407024463491904,-0.3810729620933846
Al2Pb4,Pnnm,0.20687187251013545,0.2247163314490936
Al2Pd,I4/mmm,-0.5315372717335399,-1.3248173243863215
Al2Pd6,Cmcm,-0.76139516595373,-0.8928246086284453
Al2Pt2,Imma,-0.953716448017271,-1.9273006858454316
Al2Pt2,P4/nmm,-0.9280925309178244,-1.8744954738893744
Al2Pt2,Pmma,-0.9693425642809188,-1.9595026469331744
Al2Pt2,Pmmn,-0.9121703655509912,-1.841683421238253
Al2Pt4,I4/mcm,-1.0125809902684872,-1.4506316553434626
Al2Pt4,Pnnm,-1.0142058155977691,-1.4528639251813464
Al2Rh,I4/mmm,-0.8380380527598846,-1.6864497017894908
Al2Rh,P4/mmm,-0.6043926136494793,-1.525002266554292
Al2Rh2,Cmcm,-0.9067531165255668,-1.8305196720778072
Al2Rh2,P-3m1,-0.4845320038188919,-0.960415571199344
Al2Rh2,Pmmn,-0.8283160422265113,-1.6688782525594743
Al2Sb,Fm-3m,0.1153474909496497,0.4526307720962823
Al2Sb,I4/mmm,-0.0180170967419065,0.0861843102144183
Al2Sb,P4/mmm,-0.0286267560502227,0.0570321028511242
Al2Sb2,Imma,0.0183187913121614,0.0758484284114181
Al2Sb2,P4/nmm,-0.0761963107731718,-0.1189262416476023
Al2Sn4,C2/m,-0.0247089485112469,-0.0934414867989194
Al2Sn4,Pnnm,0.0414008850567819,-0.0026163471350382
Al2Sn6,Cmcm,0.0227583562852315,-0.0848413329408377
Al2Sn6,Pmmn,0.0379493951109823,-0.0691886514652995
Al2Sr6,Cmcm,-0.0217418556614342,-0.1306938681877596
Al2Sr6,Pmmn,-0.078884511531519,-0.1895730403931876
Al2Ta,I4/mmm,-0.1978121114481905,-0.4078392393915226
Al2Ta2,I4_1/amd,-0.0993317987870666,-0.1666033529783644
Al2Ta2,P6_3/mmc,0.8263970880282757,1.7411186355221648
Al2Ta4,Pnnm,0.5617513494054863,0.7122682781605876
Al2Th,P6/mmm,-0.4478464662922035,-1.0948597316185158
Al2Th2,Cmcm,-0.4325692313096707,-0.8533318179416088
Al2Th4,I4/mcm,-0.469045355643775,-0.7038940330760269
Al2V,Fmmm,1.855826581926936,5.234952795563759
Al2V6,I4/mmm,-0.2911212873306447,-0.4082595099022746
Al2V6,Pm-3n,-0.382915150912185,-0.5028429103222148
Al2W4,C2/m,0.1378070233412451,0.1298314371288798
Al3Ba,P4/mmm,-0.17514405418876355,-0.3228356027088243
Al3Br,Fm-3m,0.133260854989127,0.3127185373636464
Al3Br,I4/mmm,0.0986175870934641,0.2413264431346007
Al3Br,Imm2,-0.0438566585328949,-0.0522813885400389
Al3Ca,Fm-3m,-0.1607596252611146,-0.2931924839208797
Al3Ca,Pm-3m,-0.2730391680392501,-0.524575727619271
Al3Cr,I4/mmm,-0.2788616496563982,-0.5365745713054455
Al3Cr,Pm-3m,-0.2407441833245718,-0.4580229243785422
Al3Cs,Fm-3m,0.4081949593027912,0.8792967695631764
Al3Cs,Pm-3m,0.5765686040992302,1.2262775206631658
Al3Cu,Immm,-0.1364318797832991,-0.2430583942973693
Al3Cu2,P-3m1,-0.3235541144775096,-0.5538766765562775
Al3Fe,I4/mmm,-0.3011183574476938,-0.5824407114354715
Al3Ga,Cmmm,-0.1177534471515115,-0.2045662859167274
Al3Ge,Fm-3m,-0.0796856704402031,-0.1261170382808183
Al3I,I4/mmm,0.2106707349075368,0.4722431370070335
Al3In,Cmmm,0.0006336143162125,0.0394031996773756
Al3In,Fm-3m,0.0347680859429289,0.1097467776034731
Al3In,Pmm2,0.01253461897556645,0.0639285316587527
Al3Ir,Imm2,-0.5387816108014829,-1.0722119832830523
Al3K,Fm-3m,0.2103835459069549,0.4716513041507095
Al3K,P4/mmm,0.0322784621377338,0.1046162149258794
Al3Na,Cmmm,0.0026420482525101,0.0435421367217913
Al3Na2,R-3m,0.1035752085148659,0.1502983906896803
Al3Nb,I4/mmm,-0.5160496558795948,-1.0253664641859055
Al3Nb2,P-3m1,-0.0921369347789393,-0.1723570774464324
Al3Ni,Imm2,-0.3397649258738638,-0.6620827204693771
Al3P,Pm-3m,-0.0536268994427618,-0.0724156888542718
Al3Pb,Pm-3m,0.1004255770516301,0.2450523095813602
Al3Pd,P4/mmm,-0.4939515405082613,-0.9798271478712322
Al3Pt,Cmmm,-0.5672959558997559,-1.1309737264958022
Al3Pt,Imm2,-0.5420963362079106,-1.0790428974240571
Al3Pt,P4/mmm,-0.5432116775329502,-1.0813413686079705
Al3Pt5,Cmmm,-1.7569925955739043,-1.9186773908155683
Al3Rh,P4/mmm,-0.5099446318836549,-1.012785363300695
Al3Rh,Pmmm,-0.613969942605247,-1.2271584648108849
Al3Rh2,R-3m,-0.8092568516725424,-1.3546171998941314
Al3Sb,Cmmm,0.0106918576059047,0.0601310090422155
Al3Sb,Immm,0.0291845967488226,0.0982404443131774
Al3Sb,P4/mmm,0.0084085169159971,0.0554255501293366
Al3Sm,Pm-3m,-0.6513719584990747,-1.3042357270105838
Al3Sn,Fm-3m,-0.0140462035328241,0.0091513498143649
Al3Sn,Imm2,0.0039105142814998,0.0461561639706271
Al3Sn,Immm,0.0221424320186455,0.0837281041520979
Al3Sn3,Cm,0.0238726086960568,-0.0266976080096666
Al3Sn5,Cmmm,0.0882798984380822,-0.017328647279992
Al3Ta,I4/mmm,-0.4389262640007965,-0.8664322528736953
Al3Ta,P4/mmm,-0.2324469832421452,-0.4409242346156168
Al3Th,Fm-3m,-0.1881113538457606,-0.3495583322676171
Al3V,I4/mmm,-0.4037204021837083,-0.793880777307645
Al4As2,P4_2/mnm,0.1261216865183736,0.1137775115375429
Al4Ba,I4/mmm,-0.4042730702332532,-0.6869517735763406
Al4Ba3,I4/mmm,-0.0970142013849932,-0.2016213363531177
Al4Bi2,P4_2/mnm,1.033922425189708,1.3609615449378685
Al4Br2,P4_2/mnm,0.4375991677424347,0.5417015314220898
Al4Br2,Pnnm,-0.3243018987609413,-0.5050379177707545
Al4Ce,I4/mmm,-0.5011264535800392,-0.8466264530233403
Al4Ce2,P4_2/mnm,0.6025503838177825,0.768320120959967
Al4Cr2,P4_2/mnm,0.4102941059651538,0.5041884124864559
Al4Cu2,Cmcm,-0.1876148508451852,-0.3172501175728129
Al4Cu8,Pnma,-0.6571890006884706,-0.6085278226727598
Al4Eu2,P4_2/mnm,0.6632601639470028,0.8517263853778906
Al4Ga2,I4/mcm,0.0293866289105414,-0.0191221592592975
Al4Ga8,Pnma,0.0331695664886233,-0.1343025077845108
Al4Ge2,Cmcm,0.0339779133591973,-0.0128144130621048
